"year","total","time"
2015,204,Jun 2015
2015,193,Jul 2015
2015,229,Aug 2015
2015,240,Sep 2015
2015,181,Oct 2015
2015,206,Nov 2015
2015,158,Dec 2015
2016,169,Jan 2016
2016,153,Feb 2016
2016,155,Mar 2016
2016,249,Apr 2016
2016,215,May 2016
2016,187,Jun 2016
2016,246,Jul 2016
2016,242,Aug 2016
2016,242,Sep 2016
2016,173,Oct 2016
2016,287,Nov 2016
2016,205,Dec 2016
2017,294,Jan 2017
2017,248,Feb 2017
2017,324,Mar 2017
2017,280,Apr 2017
2017,290,May 2017
2017,382,Jun 2017
2017,340,Jul 2017
2017,168,Aug 2017
2017,164,Sep 2017
2017,160,Oct 2017
2017,140,Nov 2017
2017,163,Dec 2017
2018,177,Jan 2018
2018,171,Feb 2018
2018,146,Mar 2018
2018,133,Apr 2018
2018,135,May 2018
2018,147,Jun 2018
2018,183,Jul 2018
2018,231,Aug 2018
2018,248,Sep 2018
2018,222,Oct 2018
2018,147,Nov 2018
2018,272,Dec 2018
2019,164,Jan 2019
2019,171,Feb 2019
2019,170,Mar 2019
2019,223,Apr 2019
2019,154,May 2019
2019,170,Jun 2019
2019,186,Jul 2019
2019,160,Aug 2019
2019,124,Sep 2019
2019,152,Oct 2019
2019,165,Nov 2019
2019,215,Dec 2019
2020,182,Jan 2020
2020,151,Feb 2020
2020,160,Mar 2020
2020,167,Apr 2020
2020,180,May 2020
2020,217,Jun 2020
2020,164,Jul 2020
2020,197,Aug 2020
2020,182,Sep 2020
2020,144,Oct 2020
2020,149,Nov 2020
2020,140,Dec 2020
2021,143,Jan 2021
2021,140,Feb 2021
2021,227,Mar 2021
2021,186,Apr 2021
2021,247,May 2021
2021,168,Jun 2021
2021,223,Jul 2021
2021,228,Aug 2021
2021,160,Sep 2021
2021,180,Oct 2021
2021,199,Nov 2021
2021,314,Dec 2021
2022,252,Jan 2022
2022,239,Feb 2022
2022,337,Mar 2022
2022,290,Apr 2022
2022,236,May 2022
2022,293,Jun 2022
2022,317,Jul 2022
2022,257,Aug 2022
2022,270,Sep 2022
2022,252,Oct 2022
2022,226,Nov 2022
2022,207,Dec 2022
2023,162,Jan 2023
2023,154,Feb 2023
2023,168,Mar 2023
