"year","total","time"
2013,53,Dec 2013
2014,120,Jan 2014
2014,83,Feb 2014
2014,57,Mar 2014
2014,49,Apr 2014
2014,71,May 2014
2014,48,Jun 2014
2014,53,Jul 2014
2014,128,Aug 2014
2014,63,Sep 2014
2014,68,Oct 2014
2014,61,Nov 2014
2014,50,Dec 2014
2015,61,Jan 2015
2015,40,Feb 2015
2015,46,Mar 2015
2015,66,Apr 2015
2015,57,May 2015
2015,26,Jun 2015
2015,44,Jul 2015
2015,44,Aug 2015
2015,28,Sep 2015
2015,42,Oct 2015
2015,68,Nov 2015
2015,41,Dec 2015
2016,59,Jan 2016
2016,39,Feb 2016
2016,45,Mar 2016
2016,32,Apr 2016
2016,45,May 2016
2016,39,Jun 2016
2016,34,Jul 2016
2016,49,Aug 2016
2016,40,Sep 2016
2016,106,Oct 2016
2016,49,Nov 2016
2016,43,Dec 2016
2017,108,Jan 2017
2017,108,Feb 2017
2017,70,Mar 2017
2017,72,Apr 2017
2017,84,May 2017
2017,92,Jun 2017
2017,76,Jul 2017
2017,50,Aug 2017
2017,40,Sep 2017
2017,32,Oct 2017
2017,89,Nov 2017
2017,85,Dec 2017
2018,89,Jan 2018
2018,42,Feb 2018
2018,47,Mar 2018
2018,60,Apr 2018
2018,53,May 2018
2018,48,Jun 2018
2018,63,Jul 2018
2018,54,Aug 2018
2018,58,Sep 2018
2018,144,Oct 2018
2018,130,Nov 2018
2018,55,Dec 2018
2019,66,Jan 2019
2019,51,Feb 2019
2019,41,Mar 2019
2019,47,Apr 2019
2019,35,May 2019
2019,47,Jun 2019
2019,52,Jul 2019
2019,44,Aug 2019
2019,59,Sep 2019
2019,48,Oct 2019
2019,107,Nov 2019
2019,61,Dec 2019
2020,103,Jan 2020
2020,88,Feb 2020
2020,61,Mar 2020
2020,54,Apr 2020
2020,157,May 2020
2020,87,Jun 2020
2020,57,Jul 2020
2020,54,Aug 2020
2020,67,Sep 2020
2020,65,Oct 2020
2020,57,Nov 2020
2020,64,Dec 2020
2021,79,Jan 2021
2021,52,Feb 2021
2021,79,Mar 2021
2021,68,Apr 2021
2021,65,May 2021
2021,47,Jun 2021
2021,64,Jul 2021
2021,70,Aug 2021
2021,66,Sep 2021
2021,64,Oct 2021
2021,90,Nov 2021
2021,55,Dec 2021
2022,64,Jan 2022
2022,43,Feb 2022
2022,56,Mar 2022
2022,60,Apr 2022
2022,54,May 2022
2022,81,Jun 2022
2022,80,Jul 2022
2022,49,Aug 2022
2022,59,Sep 2022
2022,31,Oct 2022
2022,53,Nov 2022
2022,51,Dec 2022
2023,71,Jan 2023
2023,513,Feb 2023
2023,98,Mar 2023
