"year","total","time"
2015,92,Nov 2015
2015,94,Dec 2015
2016,82,Jan 2016
2016,103,Feb 2016
2016,87,Mar 2016
2016,124,Apr 2016
2016,112,May 2016
2016,168,Jun 2016
2016,120,Jul 2016
2016,309,Aug 2016
2016,183,Sep 2016
2016,100,Oct 2016
2016,137,Nov 2016
2016,57,Dec 2016
2017,192,Jan 2017
2017,110,Feb 2017
2017,154,Mar 2017
2017,212,Apr 2017
2017,204,May 2017
2017,118,Jun 2017
2017,91,Jul 2017
2017,84,Aug 2017
2017,97,Sep 2017
2017,97,Oct 2017
2017,80,Nov 2017
2017,71,Dec 2017
2018,76,Jan 2018
2018,87,Feb 2018
2018,90,Mar 2018
2018,106,Apr 2018
2018,156,May 2018
2018,142,Jun 2018
2018,174,Jul 2018
2018,110,Aug 2018
2018,121,Sep 2018
2018,148,Oct 2018
2018,131,Nov 2018
2018,122,Dec 2018
2019,91,Jan 2019
2019,110,Feb 2019
2019,126,Mar 2019
2019,98,Apr 2019
2019,88,May 2019
2019,89,Jun 2019
2019,96,Jul 2019
2019,89,Aug 2019
2019,97,Sep 2019
2019,115,Oct 2019
2019,79,Nov 2019
2019,129,Dec 2019
2020,90,Jan 2020
2020,86,Feb 2020
2020,103,Mar 2020
2020,120,Apr 2020
2020,86,May 2020
2020,133,Jun 2020
2020,130,Jul 2020
2020,100,Aug 2020
2020,143,Sep 2020
2020,150,Oct 2020
2020,105,Nov 2020
2020,107,Dec 2020
2021,144,Jan 2021
2021,99,Feb 2021
2021,122,Mar 2021
2021,100,Apr 2021
2021,135,May 2021
2021,87,Jun 2021
2021,103,Jul 2021
2021,1051,Aug 2021
2021,251,Sep 2021
2021,161,Oct 2021
2021,175,Nov 2021
2021,183,Dec 2021
2022,169,Jan 2022
2022,135,Feb 2022
2022,169,Mar 2022
2022,147,Apr 2022
2022,144,May 2022
2022,160,Jun 2022
2022,124,Jul 2022
2022,160,Aug 2022
2022,413,Sep 2022
2022,177,Oct 2022
2022,119,Nov 2022
2022,132,Dec 2022
2023,105,Jan 2023
2023,93,Feb 2023
2023,80,Mar 2023
